vqa, target num:0, total attack num:0,best loss: 7.500993728637695
vqa_specific, target num:0, total attack num:0,best loss: 7.500993728637695
cls, target num:0, total attack num:0,best loss: 7.500993728637695
cap, target num:0, total attack num:0,best loss: 7.500993728637695
vqa, target num:0, total attack num:0,best loss: 8.860769271850586
vqa_specific, target num:0, total attack num:0,best loss: 8.860769271850586
cls, target num:0, total attack num:0,best loss: 8.860769271850586
cap, target num:0, total attack num:0,best loss: 8.860769271850586
vqa, target num:0, total attack num:0,best loss: 11.555243492126465
vqa_specific, target num:0, total attack num:0,best loss: 11.555243492126465
cls, target num:0, total attack num:0,best loss: 11.555243492126465
cap, target num:0, total attack num:0,best loss: 11.555243492126465
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
vqa, target num:0, total attack num:0,best loss: 1000.0
vqa_specific, target num:0, total attack num:0,best loss: 1000.0
cls, target num:0, total attack num:0,best loss: 1000.0
cap, target num:0, total attack num:0,best loss: 1000.0
